text;re_labelled
"POLSEK TANGERANG GELAR PATROLI MOBILE CEGAH KEJAHATAN JALANAN DI MALAM HARI

Dalam rangka mengantisipasi potensi kejahatan jalanan pada malam hari, Polsek Tangerang dipimpin oleh AKP Ronald Sianipar, SH, MH, melaksanakan patroli mobile di kawasan pinggir tol Jalan Jambu Raya. https://t.co/JYfKJJk6EP";HAM
"Hallo min, mau share info. Saya kemarin Selasa (15/07/2025) pukul 15.50 habis kemalingan helm saat ambil fcan di depan SMKN 2 Godean. Posisi helm saya taruh di spion motor yang tepat dibelakang saya berdiri. Mohon info yang mengenali ciri-ciri orang seperti di CCTV dan di foto ya min. Terima kasih????

(Utariisnaini)";HAM
YG PAKE KNALPOT BRONG LU ANJG BGT GANDENG IH TI PAGI NGA GEBER NGABANGUNKEUN BATUR WAE;HAM
Sadarilah, kepala kita cuma satu dan itu sangat berharga. Jangan pernah sepelekan pentingnya helm saat berkendara. Kecelakaan bisa terjadi kapan saja, tapi persiapan kita bisa meminimalisir risikonya. #PakaiHelmituKeren https://t.co/Ljf8IyuMb0;HAM
@AnzaiTakt wah asik nih, bawa pasukan tabrak lari ahhh https://t.co/DrrfI3uo80;HAM
@estepanasloro @kareseia barrakallah ????????;HAM
"Pikir2 ulang naik garuda deh skrg
Ya emang kecelakaan transportasi udara paling kecil rasionya dibanding yang lain, tp sekali kecelakaan wassalam
Mungkinkah habis ini insidennya meningkat?";HAM
@starforrain Aku dari dulu emang suka pakai outfit yg warnanya tabrak lari?? Kalo nggak tabrak lari ya full hitam dari atas ke bawah??;HAM
09.01 WIB #Kecelakaan_Purbaleunyi di Darangdan KM 98+800 arah Jakarta,  ada kendaraan Truk di bahu luar/kiri, dalam penanganan petugas.;HAM
Sebuah Krisis nyata di depan mata;HAM
Polsek Kedamean Laksanakan Patroli Dialogis, Wujudkan Keamanan dan Kedekatan dengan Masyarakat, antisipasi gesekan antar perguruan silat dan kejahatan jalanan (17/07/2025) #polriuntukmasyarakat https://t.co/rroiCjZmAE;HAM
"Patroli KRYD Polsek Ponjong Guna antisipasi gangguan kamtibmas,  kriminalitas serta kejahatan jalanan diwilayah Ponjong
 
#PolriUntukMasyarakat #pengamanan #Yanmas #Harkamtibmas #PoldaJogja #PoldaDIY #PolresGunungkidul #AmanNyamanDamai #Polsekponjong https://t.co/5g6SOukGlD";HAM
Sore yang indah. https://t.co/uqoMv5CeoO;HAM
@txtfromjogja Meriah tenan;HAM
@selfolssi dia suka yang mukanya kek jambret katanya nder @mingyu9k;HAM
Kecelakaan lalu lintas terjadi di Jalan Lintas Padang–Bengkulu, tepatnya di depan SMK Adi Karya, Koto Panai, Nagari Air Haji, Kecamatan Linggo Sari Baganti, Kabupaten Pesisir Selatan, pada Kamis malam (17/7/2025) sekitar pukul 20.30 WIB. https://t.co/fg4SpyncJ7;HAM
@merapi_uncover Spikerku rusak po iki;HAM
"•lacak hp hilang by no hp / imei
•lacak penipu/scammer/tabrak lari/terror/revengeporn 
•sadap / hack / pulihkan akun
#zonauang #zonauang?";SPAM
@TARONET3D di malioboro udah 5G;HAM
"Pada terjalnya jalan yang dilalui, sampai pada garis akhir. Berjuanglah sampai titik darah penghabisan dan mengakhirinya dengan baik. Tuntaskan dengan sepenuh jiwa dan raga! @PSSleman 

Never Ending Trust??

#SelesaikanDiMadura https://t.co/kEizsygUlO";HAM
@Ratu_Bagus montore blombongan ra?;HAM
"@nakaaa_w Doa terbaik untuk semua hal berkaitan dengan perkara ini mas. 
Podo Jogjane, sagete namung Nderek bekosungkowo lan dedongo. ??

#JusticeforDaru";HAM
Jangan stalk aku, liat profesi jambret dari dulu yang maling HP Samsung A32, Oppo A3s, Headset,Gitar,Uang, Kacamata,dll ke aku, yang dipenjara berkali kali (ga kehitung).;HAM
"Bisa 2 kemungkinan
1. kebutuhan buat obat / judol
2. barang spanyol hasil jambret , nyopet dll https://t.co/fEdWV146BP";HAM
09.28 WIB #Kecelakaan_Serpong_Kunciran di Parigi KM 21+200 arah Serpong, ada kendaraan Truk Box terbalik di lajur 2-3/tengah-kanan, dalam penanganan petugas.;HAM
Hati hati yang lewat Bogem Kalasan https://t.co/AZVyVoUUWB;HAM
@ARSIPAJA Haha lucu sekali;HAM
Bangun, lur, kota sudah dikepung tentara dan POLISI;HAM
Blombongan i cen asu og kadang2;HAM
"Min aku mau cerita Jadi kan saya kerja dibutik kebaya, nah pintu kios itu kan ditutup. Kebetulan saya disini ber4 bareng anak pkl 3 orang nah pas anak pkl pada keluar cari makan siang kan mereka ber3 keluar semua.  Saya sendiri jaga butik.  Selang mereka keluar lurang lebih sekitar 7 menitan datanglah si ibuk  masuk kebutik tempat saya kerja saya pikir ibuk itu mau sewa atau jahit kebaya dan ternyata enggak. Ibuk itu duduk dan ngasih saya kertas nah karna saya gak paham apa isi tulisannya saya translet lah tulisan dikertas ibuk itu nah pas saya artikan saya bingung intinya dia itu tuna rungu dealf gitu terus inti dari tulisan itu dia minta uang,makanan/minuman untuk dia makan nah terus ditulisan itu dia jelasin kalo dia itu gak punya kerjan dan tidur pindah pindah dipinggir jalan dijembatan didepan ruko gitu.  

Tapi anehnya dari kalimat itu di akhir tulisan itu dia bilang kalo dia pulang kebantul jawa, padahal ditulisan diatasnya dia bilang kalo gak punya rumah dan tidur pindah pindah. Nah tetus setelah saya selesai translate saya kasihkan kertas itu ke ibuknya nah ibuknya giranya saya foto padahal saya cuma translate pas saya jelasin ibuk itu gak percaya dan malah marah marah sama saya. Terus saya bilang maaf bu saya itu gak foto tapi saya translate kertas ibuk karna saya gak oaham sama bahasanya ibuk. Terus ibuk itu malah bilang saya dosa lah tuhan marah lah dan akhirnya saya takut min sebenernya alhasil saya bentak ibuk itu saya bilang ibuk saya sudah jelasin baik baik keibuk tapi gak paham dan malah marah marah ke saya akhirnya karna saya takut dan muak saya dengan sekidit teriak bilang ke ibuk itu ibuk keluar atau saya lapor dan teriak. Terus ibuk itu keluar tapi sambil terus marah marah sama saya karna saya takut ibuk itu melakukan hal yg aneh2. Alhasil pas ibuk itu keluar saya kunci pintu butik sambil nunggu anak pkl pulang dari makan siang. Kejaian itu berlangsung sekitar jam 13.10 min dan ibuk itu marah marah sekitar 20 menitan ke saya... Jujur min saya panik saya takut ibuk itu ngerusak barang yng ada di butik tempat kerja saya. Buat himbauan aja min kalo misl ketemu ibuk itu atau orang yang minta minta sumbangan atau minta uang ditolak aja min takutnya malah ngelunjak dan keterusan. Ciri ciri ibuknya
(pakaian baju abu kaos panjng, celana coklat tua dan pakai ketudung coklat dia pakai tas selempang dan anehnya ibuk itu kelihatan orang yang sehat min bersih soalnya dari baju, muka, dan enggak kayak orang irang pinggir jalan pada umumnya) Oiya min lokasi kejadian ibuk itu marah marah dibutik tempat saya kerja dijalan kaliurang km.15 min Tolong ya min nama saya disamarkan. Terimakasih merapi uncover";HAM
Jogja Gempa ki? Po vertigo ku sik rung mari? ????????;HAM
Semoga para jambret masuk neraka gak usah ditanya² lagi;HAM
tebak, ntar robot apa yang dibikin tukang robot wakanda, robot jambret... yak betul ??;HAM
Compete at the Pencak Silat Choreography Competition during the 8th Malioboro Festival, 12th - 14th September 2025 in Yogyakarta, Java, Indonesia. Contact us to express your interest! #Jogja #MartialArts https://t.co/IMyG9aXBad;HAM
"Sopir Truk Pelaku Tabrak Lari di Jepara Berhasil Ditangkap Polisi #BNetwork 

https://t.co/NjhivLssN9";HAM
@AntiElitGlobal Isooo wae iki;HAM
Pada hari Kamis tanggal 17 Juli 2025 pukul 23.00 wib s/d Selesai Personil Polsek Binjai melaksanakan Patroli di tempat tempat rawan, antisipasi kejahatan jalanan berupa Balap Liar, Geng Motor maupun 3-C ( Curah, Curat dan Curanmor ) di Wilayah Hukum Polsek Binjai https://t.co/eZRZWlVyEV;HAM
"Laga pamungkas berakhir dengan kemenangan di Madura. Terimakasih kepada pemain yang sudah berjuang, suporter dan kita semua yang telah menemani langkah PSS sejauh ini. Jangan henti!

Lekas sembuh kebanggaan kami @PSSleman 
PSS PER SEMPRE???? https://t.co/ui05H16pTj";HAM
"Hallo Min, mau cerita. Aku adalah owner Run Coffee and Eatery Jakal KM 13. Tadi siang dapet chat yg ngaku dari Yonif 403 Kentungan untuk order 450 cup coffee senilai 9.5juta di cafe kita, karena ragu mereka juga belum kasih DP akhirnya aku cross check langsung ke 403. Disana ketemu dg Pak Gilang dan dijelaskan kalau tidak ada pemesanan dari 403. Diinfokan juga kalau tadi siang ada coffee shop lain yg sudah datang bawa kopi 8 kardus ke 403 ?? mereka juga kena orderan fiktif min.
Aku sharing ini semoga ga ada owner"" coffee atau lainnya yg kena modus yg sama.
Thank you Min";HAM
BCS secara penuh mendorong manajemen untuk segera melakukan RUPS, evaluasi kinerja orang-orang yang gagal dalam mengelola klub ini WAJIB dilakukan! Profesionalitas sebuah klub tentu juga dinilai dari prestasi sebagau hasil kerja orang-orang di dalamnya.;HAM
malioboro night?? https://t.co/uYdMfKPbNs;HAM
Personil Polsek Perbaungan Polres Serdang Bedagai melaksanakan Giat Patroli *BLUE LIGHT PATROL* Deteksi, Monitor antisipasi 3C, kejahatan jalanan dan Kejahatan Lainnya di Wilkum Polsek Perbaungan. https://t.co/wp00AQtTdL;HAM
Sudah selesaikah dengan sebuah permohonan maaf atas turunnya kebanggaan kita ke kasta kedua? Minta maaf tanpa evaluasi itu sama saja, bicara target naik kasta oleh Gusti Randa sepertinya jangan berharap pada hasil berbeda dari pola penyelesaian yang sama, kami tidak bodoh??;HAM
"@toe_giman Lecet dikit lah ??????
Emang yang cocok buat ngadepin jambret pake Toyota Hardtop kok. ??";HAM
09.25 WIB #Kecelakaan_Serpong_Kunciran di Parigi KM 21+200 arah Serpong, ada kendaraan Truk terbalik di lajur 1-2/kiri-tengah, petugas menuju lokasi.;HAM
@martogibol ??????udu aku lik ??;HAM
Musim depan harus benar-benar dipersiapkan mulai sekarang juga. Kontrak pemain, pelatih, akademi, hingga penggunaan stadion Maguwoharjo HARUS dilakukan segera. Waktu kita tidak banyak, kami tidak akan tinggal diam ketika klub PSS hanya 'sekedar jalan'.;HAM
"??????????.

Tepat 30 hari yang lalu PSS berlaga di kasta tertinggi liga Indonesia. Per malam ini, belum ada pergerakan berarti yang nampak dilakukan oleh manajemen @PSSleman dalam menyikapi kejadian musim lalu dan persiapan musip depan.

Sebuah utas https://t.co/IgokPyaogH";HAM
"Ijin selamat malam min. Kejadian Buang Sampah sembarangan di jalan kampung, kejadian hari Rabu, 16 Juli 2025 sekitar jam 11.30 WIB di Selatan SMP IT Islam Terpadu LHI Jogoragan Banguntapan Bantul. 
Ada pemotor merk motor Vario hitam no plat tidak begitu jelas dikendarai oleh seorang lelaki membuang sampah satu kresek di jalan kampung yg notabenya dijaga kebersihannya sama warga kampung. Tindakan yg sangat kurang baik, tidak perlu dicontoh dan tidak menghargai wilayah sekitar oleh orang yg bukan domisili di kampung tersebut. Untuk pembelajaran buat semuanya Jangan buang sampah asal sembarangan. Terimakasih min dan ijin di hide user saya ?? Salam Hangat Jogja Istimewa";HAM
@k_tuaethnic @ferdinand_mpu Harley ... kw modelan modelan motor jadul ... di kasih knalpot brong??????;HAM
Wes ono sik gawe jogja rasa dieng rung?;HAM
"Info lur, Hati-hati ada lubang di jalan Kaliurang km 10,9 (depan lapangan sepak bola Gadingan)

Lubangnya cukup besar dan dalam, banyak yang kejeglong lur, tadi saya lewat sampai dipilox putih dan ditulis tulisan misuh (gak tau siapa yg nulis)

Ada beberapa lubang ke arah Utara dengan tulisan yang sama.

Semoga segera diperbaiki drpd ada yang jatuh";HAM
Pada hari Kamis tanggal 17 Juli 2025 pukul 16.00 wib s/d Selesai Personil Polsek Binjai melaksanakan Patroli di tempat tempat rawan, antisipasi kejahatan jalanan berupa Balap Liar, Geng Motor maupun 3-C ( Curah, Curat dan Curanmor ) di Wilayah Hukum Polsek Binjai https://t.co/VEYXa08A1H;HAM
"Nuwunsewu admin, izin berbagi keresahan saya, mewakili suami, dan mungkin juga para perempuan2.

Jadi kejadian di Stadion Sultan Agung, Bantul, 16 Juli 2025, sore hari. Waktu itu kami milih track pacuan kuda, tapi karena angin kencang akhirnya kami memilih track keliling stadion.
.
Pas keliling stadion banyak banget orang yang megang kamera dan Wallahua'lam, saya ndak tahu mereka sudah izin atau ndak, atau dari pihak stadionnya sendiri ada mekanisme izin atau ndak. Tapi terlepas dari hal (perizinan) tersebut, masalahnya mereka ngephoto orang-orang, dan orang-orang yang jadi objek photo gk tahu bagian apa yang diphoto, pose kaya apa yang diphoto.
. 
Kita ketahui bersama bahwa banyak yang mohon maaf pakaiannya belum menutup semua aurat sesuai dengan syariat islam ketika olah raga di tempat umum, dan zaman2 ini banyak sekali modus2 pemuasan nafsu dengan cara yang tidak halal dan plus aneh2.
.
Saran saya kepada semua photographer baik laki-laki maupun perempuan, bertakwalah kepada Allah.

Lanjut... Minta izinlah kepada yang mau diphoto, terlepas njenengan semua sudah izin sama stadion tapi tubuh kami bukan milik stadion, panjenengan harus minta izin dulu sama setiap orang. Karena ini bukan event, dan ini adalah sarana umum dan fasilitas publik.
.
Maturnuwun sanget. Mohon untuk dianonimkan nggih admin

Ada beberapa photo yang menunjukkan banyaknya photographer disana

Saya ndak izin sama mereka karena objeknya ndak jelas wajah, tubuh, dan identitas mereka.";HAM
rill bocil nekat motoran blombongan keliling jkt sendiri tengah malem??;HAM
Nekat keluar dengan outfit tabrak lari?? Kaos pink, celana ungu, outer + jilbab item, selop navy tosca gonjreng. Untung jalannya gelap????;HAM
Tulmbantul maneh.. https://t.co/aWfIVkW2QP;HAM
Ono wae gebrakane https://t.co/NyYFdhgWDR;HAM
sumpah hari ini serem banget, ada yang meninggal kecelakaan di lampu merah al azhar. kecelakaan di csw terus kecelakaan di cawang kaya ya Allah ??????;HAM
Sore ini terpantau ada operasi Progo di Yogyakarta https://t.co/gcQ6e3Ntjk;HAM
@gadaapaapabre @BASEMANLY boleh aja, asal jametnya kayak gimana dulu siiih, intinya gak yang rambut di jabrik kayak anak punk, motor scopy knalpot brong roda kayak punya sepeda, tato mata. kalo gak gitu berarti aman;HAM
Berikan mimin Tongkat Musa, akan mimin pajang di gubuk-gubuk rakyat tertindas. Tulisan kekuasaan dan kenabian patut dibaca karena tulisan ini menyentil watak yang mengaku para pendukung kebenaran.;HAM
@Pai_C1 Sein nya kayaknya telat deh...udah belok ada kecelakaan baru nyalain sein itu ????;HAM
"Min, mau cerita tapi mohon disamarkan njih

Hari ini (Kamis, 17 Juli 2025), jam 09:00  berlokasi di Cosan Kotabaru.

Area duduk kebetulan baru ada tukang yg ngecat tembok + masang beberapa perlengakapan. Karena kondisi ngecat, ada ember cat yg ditaruh diposisi aman sama tukang ketika progress, dan sudah di blockade.

Singkat cerita, gatau gimana ada mba-mba sama temannya lewat dengan posisi ngobrol menyenggol cat dengan isi 3/4 tersebut. 

Logikanya kalau jatuh langsung reflek diangkat atau dirapikan kan yaa.. Sayangnya mbanya itu cuma bilang ke tukang, kalau cat nya tumpah, terus dengan entengnya naikin kaki ke kursi (membersihkan cat yg kena sepatu), dan pergi ke kamar mandi..

Herannya, sampai dengan keluar kamar mandi, mba mba dan temannya langsung cabut tanpa ketemu dengan tukang-tukang yg terlihat kesusahan membersihkan cat yg jatuh dilantai. Bahkan ada 15-30 menit para tukang berhenti kerja cuma buat bersihin, sekaligus ngetutup bekas cat dilantai pakai adukan abu abu.

Pesen aja sih buat mba nya, minimal kalau numpahin cuma sampaikan minta maaf dan kasih pertanggung jawaban seminimal mungkin dong mba. 

Gak sekedar ngasih tau, bersihin diri sendiri, terus cabut. Manner seminimal mungkin konfirmasi ke tukang, kira kira apa yg perlu dipertanggung jawabkan atau apapun itu. Bukan justru ninggalin..

Yang dilokasi pada ngeliatin dan kasian sama tukangnya, kasian karena mba nya bener bener engga se bertanggung jawab itu. Iya kalau atasannya bisa mensiasati, kalau engga?

Emang ya, basic manner perlu banget adanya. Ntah yaa, karena malu atau apa di tempat yg dirasa cozy atau hits terus sengaja ninggal cabut, atau konteksnya malu

Cuma jadi pesen aja buat semua, kalau merasa melakukan sesuatu yg merugikan, tolong tanggung jawab seminimal mungkin yaa.. Entah yg dirugikan pada akhirnya fine fine aja, tapi setidaknya kamu bener bener memastikan tindakan kamu itu ga masalah untuk dia.. Bukan sesingkat ngelakuin, terus tinggal pergi

Mohon disamarkan, ty";HAM
@graceleeyaw @wannaonesome Ihhh tabrak lari orang ini????;HAM
@aitneserk Di Jogja juga udah rame orang lari2, di Malioboro wkwkwk;HAM
"Selamat merayakan Hari Raya Idul Adha 1446 H/2025 M????

Mari bersama belajar tentang keikhlasan dan pengorbanan. Semoga keberkahan dan keberuntungan selalu menaungi langkah kita ke depan. Ale!

#BCSxPSS https://t.co/OSdsuSPfBH";HAM
Tidak akan ada demokrasi dengan pentungan dan tembakan gas air mata yang membutakan mata rakyat. Yang ada hanyalah kekuasaan bertangan besi, antikritik, dan culas, seperti dinasti jokowi dan penerusnya yang berwatak ORBA , beserta alat-alat kekuasaan bernama polisi dan tni. https://t.co/JGJhbI5sfH;HAM
Sik do waspada dab, Iki depok concat ?? https://t.co/SYfFamnGjl;HAM
Banyak sekali hal buruk yang kita alami bersama di musim lalu. Performa yang payah, kualitas pemain yang tidak seimbang, omong kosong perwakilan manajemen, dan masih banyak lagi. Berbenah atau bubrah! Ayo!;HAM
Dari kegaduhan nge-band sampai pagi, lalu gantian drama tukang cabul, sekarang gantian drama sepanjang hari blombongan motor ngulon ngetan + hoak hoek cuhh pagi-malem yg njijiki banget. Demi allah, lingkungan rumahku udah ga bisa dipakai hidup tenang anjjj.;HAM
"Personil Satlantas Polres Tanjab Barat melaksanakan kegiatan Patroli Blue Light On memberikan rasa aman dan antisipasi gangguan kamseltibcarlantas aksi balap liar dan knalpot brong di Jl. Prof. Dr. Sri Soedewi.
(16/7/2025) https://t.co/v4D8p2TU0Y";HAM
RS Grhasia wes ra ngatasi https://t.co/lYhtWZPMdl;HAM
Punya pacar pembalap kaya gini mau motornya blombongan dan dimodif pake stang bunder dan jok njepat depan juga ga malu (jangan lupa stiker skotlet tanggal jadiannya juga) ??????;HAM
"???????????????? ???????? ????????
“?????????????? ?????????? ???? ?????????? ??????????????, ?????????????????? ?????????????? ??????????????”

?? Minggu, 20 Juli 2025 
? 17.00
?? Gereja St. Yoseph Medari, Sleman. https://t.co/ydzuc6GcA5";SPAM
Personil melaksanakan giat patroli malam seputaran bandara lama antisipasi balap liar dan knalpot brong https://t.co/YgnQBjuDUv;HAM
dalam Operasi Patuh Candi, seperti penggunaan helm, knalpot brong, dan larangan pengendara di bawah umur. Kehadiran Polri diharapkan mampu membangun kesadaran hukum dan rasa aman bagi masyarakat.;HAM
wasite koyo luhut patrapnya;HAM
Haadehhhhh https://t.co/OdT3ifafGJ;HAM
@SatriaaGee di awali mlayu disik ben gayeng ??;HAM
@toe_giman Kalau saja ada empati si mobil merah, jgnkan lecet, sampe penyokpun nabrak si jambret, mgkin banyak yg donasi untuk perbaiki mobilnya, yg vidio masih mnding smoga yg berwajib gercep;HAM
@NF_2502 @Pai_C1 Nyalain bang, tapi sepenglihatan saya telat, sopir nyalainnya pas setelah terjadi kecelakaan.;HAM
@Dzulfahmi98 cocok dibuat muter lagu draglord sama tabrak lari, mberrr;HAM
@agil_lotox @merapi_uncover rodo mecicil berarti lik ??;HAM
@ARSIPAJA Panen tilangan aja pak lebih bermanfaat, itu yg kendaraan bodong blombongan, tanpa helem, odol;HAM
"[Breaking News] 22:45 Info min ada kebakaran di jl sidikan 60 tepatnya depan perumahan kuantan utara smkn 4 , Sudah terkondisi oleh 2 damkar kbakaran di ketahui dari pembakaran sampah dan merabat ke kayu dan 

(arief_setyawan08) https://t.co/riVLjG9yln";HAM
"Tahap 2 Kasus Curanmor dan Sajam, Unit Reskrim Polsek Berbah Serahkan Tersangka berikut Barang Bukti

Sleman – Unit Reskrim Polsek Berbah melaksanakan tahap 2 (penyerahan tersangka dan barang bukti ke Kejaksaan Negeri Sleman) , Rabu pagi (16/7/2025) di ruang tahap 2 Kejaksaan Negeri Sleman yang dipimpin Aiptu Widaya.

Penyerahan (tahap 2) ini terkait kasus pencurian kendaraan bermotor (curanmor), dan kepemilikan senjata tajam tanpa izin yang berhasil diungkap oleh Unit Reskrim Polsek Berbah, yang sebelumnya mencuat disalah satu media sosial terkemuka. Dua tersangka (dalam perkara terpisah), RS dan ZAP, resmi diserahkan bersama barang bukti ke pihak kejaksaan untuk proses hukum lebih lanjut.

Dengan penanganan cepat dan profesional, diharapkan kedepannya dapat semakin menekan angka kejahatan jalanan, khususnya di wilayah hukum Polsek Berbah.

(Polsek Berbah)";HAM
